Name,Age,Address
Mike,60.0,Paris
Laura,55.0,Tokyo
Laura,20.0,Moscow
Olivia,31.0,Berlin
Bob,36.0,New York
Eve,33.0,Toronto
David,,Madrid
Olivia,,
James,,New York
Emma,,Sydney
John,47.0,London
Bob,33.0,
Alice,39.0,Moscow
John,37.0,Moscow
James,,Rome
David,43.0,Toronto
Bob,31.0,Madrid
John,29.0,Sydney
James,39.0,Tokyo
David,,Paris
Mike,50.0,Toronto
Bob,42.0,Sydney
Mike,60.0,Berlin
John,35.0,Toronto
Mike,55.0,London
Bob,,Moscow
Eve,45.0,Berlin
Laura,,Rome
David,54.0,Rome
Bob,33.0,New York
Sophia,52.0,Tokyo
Olivia,45.0,Madrid
Emma,21.0,Sydney
Alice,44.0,Tokyo
David,,Paris
Sophia,20.0,Madrid
David,20.0,New York
Bob,,Sydney
Eve,45.0,Madrid
Alice,,Sydney
Olivia,23.0,Moscow
Olivia,21.0,Sydney
David,58.0,Rome
David,31.0,Madrid
Bob,26.0,Moscow
Alice,59.0,New York
John,21.0,Tokyo
James,48.0,Paris
John,59.0,Madrid
Alice,21.0,Sydney
Sophia,,Madrid
Bob,43.0,Sydney
James,28.0,Sydney
Bob,25.0,London
James,23.0,Berlin
James,58.0,Moscow
John,,Tokyo
Olivia,49.0,Berlin
Eve,53.0,London
John,,
Alice,30.0,Madrid
Eve,60.0,Berlin
David,30.0,Tokyo
Emma,22.0,
Eve,42.0,Toronto
Bob,34.0,Madrid
Olivia,38.0,Berlin
Sophia,52.0,New York
Alice,,Moscow
David,48.0,Sydney
James,35.0,Moscow
David,53.0,Madrid
Eve,,London
David,47.0,Paris
Laura,36.0,Sydney
Emma,45.0,London
Eve,42.0,Paris
Olivia,,Berlin
Mike,23.0,Moscow
Sophia,40.0,Rome
Sophia,,Moscow
Alice,,Rome
Mike,,Sydney
James,60.0,New York
Alice,52.0,Berlin
Bob,36.0,Moscow
John,49.0,London
Mike,49.0,Berlin
James,42.0,
Alice,31.0,
Emma,30.0,Paris
James,45.0,Tokyo
David,55.0,Paris
John,28.0,Madrid
Olivia,,Berlin
Olivia,33.0,Madrid
Mike,26.0,Moscow
James,41.0,
Eve,,Toronto
Laura,45.0,Toronto
Laura,21.0,Moscow
Eve,48.0,New York
Alice,,London
David,25.0,London
John,,Madrid
John,39.0,Rome
Alice,50.0,Sydney
David,31.0,Berlin
Sophia,27.0,Moscow
Eve,48.0,Rome
Sophia,38.0,Rome
Sophia,57.0,London
Mike,31.0,Paris
Bob,46.0,Rome
Olivia,55.0,Paris
Olivia,32.0,Rome
Laura,,Toronto
David,,Paris
Sophia,41.0,Sydney
Bob,48.0,Berlin
Eve,27.0,New York
Eve,60.0,
Mike,,Madrid
Emma,29.0,Toronto
Sophia,45.0,Moscow
Alice,53.0,Madrid
Eve,48.0,Toronto
Laura,24.0,Berlin
Olivia,49.0,Toronto
Sophia,53.0,Rome
Mike,26.0,Rome
Bob,30.0,Paris
Alice,28.0,Madrid
Emma,39.0,Madrid
Sophia,,Moscow
Mike,56.0,Madrid
Sophia,38.0,Rome
Laura,23.0,Tokyo
Bob,33.0,Moscow
David,45.0,Madrid
David,44.0,Paris
David,36.0,Toronto
Emma,36.0,Rome
Mike,32.0,Sydney
Emma,,Paris
Bob,33.0,Moscow
Sophia,33.0,Berlin
David,32.0,Berlin
Alice,,London
Olivia,46.0,Moscow
Mike,33.0,London
Bob,,London
